"index","longitude","latitude"
368187,48.351137,41.618544
368188,47.602904,41.658485
368189,48.351137,41.618544
368191,48.348757,41.910131
368192,48.351137,41.618544
368193,48.420649,41.83422
368198,47.771455,41.609477
368202,47.243101,42.69884
368203,47.288421,42.620305
368204,47.173599,42.611016
368205,47.15975,42.755025
368206,47.136678,42.73406
368207,46.973212,42.804573
368208,46.952425,42.848075
368209,47.234765,42.676824
368210,47.196272,42.751991
368211,47.258157,42.618507
368212,46.904859,42.826001
368213,47.039416,42.758766
368214,47.151905,42.838252
368215,47.142328,42.844671
368216,47.153057,42.804365
368217,47.298348,42.630634
368219,46.979077,42.954916
368220,47.11688,42.81968
368221,47.112792,42.81903
368222,47.128423,42.814488
368229,47.11688,42.81968
368241,47.035582,42.513877
368250,47.068074,42.503289
368252,46.868261,42.688635
368253,47.042418,42.466061
368254,46.921729,42.485772
368255,46.868261,42.688635
368256,46.917058,42.561117
368257,47.133857,42.538528
368258,46.868261,42.688635
368260,46.705145,42.545397
368262,46.882563,42.51585
368263,46.868261,42.688635
368264,46.633163,42.594704
368265,46.521548,42.643886
368266,46.496727,42.634289
368267,46.868261,42.688635
368268,46.868261,42.688635
368270,46.755361,42.555937
368271,46.868261,42.688635
368273,46.868261,42.688635
368280,47.346183,42.273778
368282,47.391315,42.25053
368283,47.32545,42.211128
368284,47.322962,42.431733
368285,47.364679,42.215154
368286,47.41733,42.204189
368287,47.231971,42.277494
368288,47.260062,42.310087
368289,47.213565,42.330873
368290,47.207995,42.340157
368291,47.37528,42.290588
368292,47.305984,42.322114
368293,47.422028,42.299451
368295,47.293541,42.260927
368297,47.40355,42.107798
368300,47.633204,42.891282
368301,47.646876,42.874007
368302,47.664885,42.871267
368303,47.605608,42.890272
368304,47.633518,42.872686
368305,47.641819,42.883977
368310,47.371938,42.376461
368311,47.209388,42.555466
368313,47.464464,42.424352
368314,,
368315,47.302085,42.348881
368316,47.322962,42.431739
368317,47.159289,42.34229
368318,47.229555,42.554914
368319,47.322962,42.431733
368320,47.322962,42.431739
368321,47.322962,42.431739
368322,47.288853,42.53415
368323,47.456593,42.399453
368324,47.396309,42.353292
368325,47.189158,42.362446
368326,47.177399,42.416638
368327,47.119907,42.422955
368328,47.281855,42.42354
368329,47.268371,42.466141
368331,47.072332,42.395754
368337,47.322962,42.431739
368338,47.322962,42.431739
368339,47.322962,42.431739
368340,46.962594,42.386158
368342,47.026131,42.376794
368343,46.868261,42.688635
368344,46.918648,42.360354
368345,46.868261,42.688635
368346,46.933506,42.354438
368347,46.786847,42.470265
368350,47.031664,42.320886
368351,46.868261,42.688635
368352,47.045185,42.252999
368353,46.868261,42.688635
368354,46.991915,42.280963
368355,46.984962,42.240511
368356,46.868261,42.688635
