"index","longitude","lattitude"
174360,33.510628,58.235333
174361,33.512272,58.21604
174363,33.503531,58.305682
174370,33.613467,58.161901
174400,33.90373,58.384652
174401,33.89572,58.393038
174403,33.902949,58.403547
174404,33.965031,58.383444
174405,33.906632,58.365535
174406,33.924778,58.386063
174407,33.829961,58.386492
174408,33.968434,58.39917
174409,33.965031,58.383444
174411,33.90373,58.384652
174412,33.911393,58.390865
174415,34.494886,58.216417
174416,33.939794,58.400501
174418,33.935055,58.2855
174419,33.852697,58.179795
174420,33.872442,58.44618
174421,33.763719,58.509621
174423,33.733086,58.586746
174425,33.983285,58.31847
174426,33.873017,58.306817
174428,33.90373,58.384652
174429,33.922721,58.378377
174430,33.90373,58.384652
174431,33.937247,58.559098
174432,33.614742,58.418104
174435,34.068014,58.655214
174436,33.90373,58.384652
174437,34.315455,58.660667
174438,33.90373,58.384652
174439,33.90373,58.384652
174440,34.044308,58.409879
174442,34.108456,58.276249
174443,34.371798,58.416818
174447,33.880976,58.33783
174449,33.695896,58.310916
174450,34.590771,58.511201
174454,34.549633,58.631525
174461,34.416209,58.553947
174463,34.970543,58.577265
174465,35.108937,58.629409
174470,34.55155,58.424604
174472,34.668817,58.307133
174474,34.786909,58.399581
174475,34.897016,58.462321
174477,35.123652,58.464768
174478,34.378023,58.681453
174481,34.948651,58.344325
174484,35.043371,58.313878
174486,35.137719,58.369731
174500,36.109274,58.553112
174501,36.175219,58.56849
174502,35.814636,58.486696
174510,35.797918,58.598081
174511,35.83138,58.601584
174513,35.965014,58.598424
174514,36.034795,58.65575
174515,35.818042,58.719983
174520,35.643084,58.566124
174521,33.90373,58.384652
174522,35.593075,58.556849
174523,35.470336,58.512535
174524,35.328144,58.569771
174525,35.32809,58.504111
174526,35.377722,58.455904
174527,35.203205,58.458729
174528,35.906596,58.652714
174530,35.626296,58.672089
174531,35.671273,58.469315
174540,35.433471,58.713304
174541,35.420653,58.766687
174542,35.526475,58.748209
174543,35.520511,58.703597
174544,35.47554,58.628753
174545,35.279383,58.626434
174560,35.028457,58.805042
174561,35.156853,58.777777
174562,35.108497,58.739317
174563,34.678554,58.811129
174565,35.251015,58.757357
174570,34.66649,58.86707
174571,34.997241,58.837707
174572,34.509509,58.928308
174574,34.024464,58.964266
174575,33.828946,58.95951
174576,34.331966,58.912317
174577,34.185636,58.939267
174580,34.530485,58.896078
174581,34.499224,58.895534
174583,34.610543,59.093282
174585,34.750788,58.944931
174590,34.400463,58.871797
174591,34.358844,58.814541
174593,34.246995,58.831829
174597,34.440555,58.754664
174740,33.437109,58.647999
174744,33.4379,58.77419
174745,33.333713,59.034954
174750,33.474893,58.733745
174751,33.503808,58.705215
174752,33.524713,59.243095
174755,33.337073,59.11901
174757,33.122663,59.04756
174760,33.394439,58.81283
174762,33.181188,58.739429
174765,33.113644,58.847047
174766,33.038895,58.876723
174770,33.55531,58.794273
174771,33.005712,59.169221
174772,33.648241,58.776336
174780,33.333713,59.034954
174782,32.949693,59.289852
175000,30.313326,58.648275
175003,30.121527,58.575214
175004,30.208295,58.514529
175005,30.187894,58.435784
175006,30.230645,58.681738
175007,30.454083,58.474868
175009,30.28988,58.492454
175010,30.848461,58.722304
175011,30.597032,58.565688
175012,30.639307,58.625563
175031,30.109543,58.08235
175032,29.961761,58.054912
175033,30.239637,58.061317
175034,29.707098,58.112182
175035,29.871175,58.146235
175036,30.068176,58.172691
175040,30.314673,58.119897
175041,30.314673,58.119897
175042,30.3427,58.127888
175044,30.38167,58.104426
175045,30.416956,58.069876
175046,30.358179,58.006769
175047,30.125443,58.021529
175048,30.543331,57.94804
175051,30.440653,58.129103
175052,30.457281,58.154845
175060,30.131839,57.970157
175061,30.043463,57.990452
175062,30.211277,57.995876
175100,30.709222,57.929523
175102,30.772985,57.987013
175103,30.827288,58.02468
175104,30.854543,57.906247
175106,30.628679,57.879473
175107,30.599924,57.763914
175108,30.830261,57.774403
175109,30.599924,57.763914
175111,30.549367,57.978371
175120,31.609855,57.95189
175121,31.616617,58.045849
175128,31.648294,57.969747
175129,31.647135,57.972763
175130,31.65876,57.970291
175132,31.622198,57.986641
175133,31.585942,58.042486
175135,31.921292,57.978085
175140,31.834326,57.937612
175141,31.734317,58.014155
175143,31.901332,58.076934
175144,31.8168,58.155553
175146,31.892789,57.840747
175147,32.023907,57.852473
175200,31.348841,57.993925
175201,31.365352,57.97314
175202,31.348841,57.993925
175203,31.366241,57.98665
175204,31.368191,57.990443
175205,31.350287,57.982012
175206,31.349371,57.999487
175207,31.374443,57.995814
175209,44.812602,56.500179
175210,31.310932,58.007565
175211,31.172232,58.038055
175212,31.058981,58.096127
175213,31.014497,58.041014
175214,30.94088,58.091066
175215,31.053475,58.14708
175217,31.162243,58.130918
175218,31.256566,58.065592
175219,31.469835,58.160967
175220,31.505956,57.911636
175221,31.621012,57.831835
175222,31.637137,57.753495
175223,31.661005,57.779994
175224,31.763863,57.666156
175225,31.886069,57.721435
175226,31.815812,57.534956
175227,31.602031,57.65553
175228,31.410268,57.984513
175229,31.401554,57.87675
175230,31.262665,57.87975
175231,31.24425,57.955261
175232,31.205299,57.78616
